PolicyId,CancelProb
92597,0.0
92808,0.0
93090,0.0
93122,0.0
93133,0.0
93258,1.0
1274,0.0
1324,0.0
1374,0.0
1406,0.0
1413,0.0
1449,0.0
1488,0.0
1499,0.0
1506,0.0
1513,0.0
1563,0.25
1649,0.0
1656,0.0
1667,0.0
1756,0.0
1874,1.0
1956,1.0
2006,1.0
2074,0.0
2149,0.0
2249,0.0
2335,0.0
2560,0.0
2674,0.0
6629,0.0
6672,1.0
6754,0.0
6861,1.0
6954,0.0
6997,0.0
7004,0.0
7072,0.0
7215,0.0
7240,0.0
7265,1.0
7347,0.0
325676,0.0
325819,0.0
326062,0.0
326155,1.0
326219,0.0
326312,0.0
326323,0.0
326330,0.0
326723,0.0
326741,0.0
326773,0.0
326873,0.0
327191,0.0
327198,0.0
463106,0.0
463188,0.0
463206,0.0
463406,1.0
463456,0.0
467289,0.0
467293,0.0
467314,0.0
467325,1.0
467343,0.0
467425,1.0
467443,0.0
467507,0.0
467618,0.0
328570,0.0
328609,0.0
328852,0.0
328877,0.0
329113,0.0
329470,0.0
329488,0.0
329674,0.0
329731,0.0
329874,0.0
329924,1.0
329981,0.0
330031,0.0
330038,0.0
330174,0.0
330281,0.0
330317,0.0
330356,0.0
330456,0.0
330474,0.0
330685,0.0
844475,0.0
844493,0.0
844543,0.0
10312,0.0
10348,0.0
10480,0.0
10491,0.0
10580,0.0
10648,0.0
10691,1.0
10716,0.0
10755,1.0
10805,1.0
10830,1.0
10891,0.0
99174,0.0
99217,0.0
99274,0.0
99281,0.0
99342,0.25
99374,0.0
725365,0.0
725383,0.0
725408,0.0
725415,1.0
725565,0.0
725608,0.0
725626,0.0
99481,0.0
99617,1.0
99635,0.0
725701,0.0
725908,1.0
725951,0.0
726090,0.0
99842,0.0
726208,0.0
726233,0.0
726251,1.0
334125,0.0
334275,0.0
334293,0.0
334325,0.0
334411,1.0
334493,1.0
334543,0.0
728548,0.0
728573,0.0
728648,0.0
728798,0.0
728898,0.25
729059,1.0
729066,0.0
729134,1.0
729234,0.0
729241,0.0
729252,0.0
729366,0.75
729384,0.0
729409,0.0
729416,0.25
729520,0.0
729709,1.0
729727,0.0
729759,0.0
729795,0.0
474963,0.0
475056,1.0
475081,1.0
586578,0.0
586617,0.0
586653,0.0
586960,0.0
587210,0.0
587228,1.0
587235,0.0
587310,0.0
587385,0.0
587489,0.0
587596,0.0
587721,0.0
587803,0.0
587864,0.0
731699,0.0
731806,0.0
731967,0.0
731992,0.0
731999,0.0
732174,0.0
732374,0.0
732392,0.0
732442,0.0
732553,1.0
732560,1.0
732610,0.0
732803,1.0
732853,1.0
732860,0.0
732935,1.0
732985,0.0
591154,0.0
734882,1.0
734900,0.0
734932,0.0
734943,1.0
735000,1.0
735107,0.0
735118,0.0
735218,0.0
735243,1.0
735418,0.0
735475,0.0
735525,1.0
735825,0.0
735875,0.0
735893,0.0
735986,0.0
738126,0.0
738133,0.25
738140,0.0
738208,0.0
738251,0.0
738269,0.0
738308,0.0
841242,0.0
841256,0.0
841281,0.0
841331,0.75
841349,0.0
841424,0.0
841442,0.0
841244,0.0
841311,0.0
841347,0.25
841411,0.0
841412,0.0
841530,0.0
841547,0.0
841761,0.0
841829,0.0
841879,0.0
841997,0.0
238910,0.0
239210,0.0
239263,0.0
239277,0.0
239428,0.0
239445,0.0
239678,0.0
239831,0.0
239832,0.0
239863,0.0
239946,0.0
239996,0.0
240132,0.0
240250,1.0
240263,1.0
240313,0.0
240364,0.0
240464,0.0
240482,0.0
240567,0.0
240599,0.0
240731,0.0
240967,0.0
241149,0.0
241236,0.0
241353,0.0
241817,0.0
241885,1.0
241904,0.0
242003,0.0
242104,0.0
242186,0.0
242235,0.0
